ID	acnu_18S	acnu_28S	taxo
KF422623	KF422623	NA	Dinoflagellata_Suessiales_Pelagodinium_beii
KJ763415	KJ763415	NA	Dinoflagellata_Suessiales_Pelagodinium_beii
AB920349	AB920349	NA	Dinoflagellata_Gymnodiniales_Gymnoxanthella_radiolariae
AB920350	AB920350	NA	Dinoflagellata_Gymnodiniales_Gymnoxanthella_radiolariae
AB920351	AB920351	NA	Dinoflagellata_Gymnodiniales_Gymnoxanthella_radiolariae
AB698451	AB698451	NA	Dinoflagellata_Gymnodiniales_Gymnoxanthella_radiolariae
AB218765	AB218765	NA	Phaeodarea_F_Challengeron_diodon
AB998905	AB998905	NA	Phaeodarea_H_Conchariidae_sp
AB998899	AB998899	NA	Phaeodarea_G_Coelodendrum_furcatissimum
AB998919	AB998919	NA	Phaeodarea_I_Aulacantha_scolymantha
AB998911	AB998911	NA	Phaeodarea_B_Challengeron_willemoesii
AB218767	AB218767	NA	Phaeodarea_A_Protocystis_xiphodon
AB998892	AB998892	NA	Phaeodarea_A_Challengeron_tizardi
AB998913	AB998913	NA	Phaeodarea_A_Protocystis_xiphodon
AB998912	AB998912	NA	Phaeodarea_A_Protocystis_xiphodon
AB998895	AB998895	NA	Phaeodarea_C_Porospathis_holostoma
AB998922	AB998922	NA	Phaeodarea_J_Phaeodina_sp
AB820365	AB820365	NA	Phaeodarea_K_Aulographis_japonica
AB998917	AB998917	NA	Phaeodarea_K_Aulographis_japonica
AB998901	AB998901	NA	Phaeodarea_D_Tuscaretta_belknapi
AB998918	AB998918	NA	Phaeodarea_E_Auloscena_sp
AB998915	AB998915	NA	Phaeodarea_E_Auloscena_sp
GU823936	GU823936	NA	Rad_X
GU824165	GU824165	NA	Rad_X
GU824683	GU824683	NA	Rad_X
GU824448	GU824448	NA	Rad_X
AF290072	AF290072	NA	Acantharea_A_Uncultured
GU246591	GU246591	NA	Acantharea_A_Uncultured
Ei59	JN811161	JN811246	Acantharea_A_Acanthoplegma_sp
KF129749	KF129749	NA	Acantharea_1_Uncultured
EF172802	EF172802	NA	Acantharea_1_Uncultured
KF130152	KF130152	NA	Acantharea_1_Uncultured
KF129879	KF129879	NA	Acantharea_1_Uncultured
JX188361	JX188361	NA	Acantharea_2_Uncultured
KF129913	KF129913	NA	Acantharea_2_Uncultured
GU822163	GU822163	NA	Acantharea_2_Uncultured
GU821070	GU821070	NA	Acantharea_2_Uncultured
EF172909	EF172909	NA	Acantharea_3_Uncultured
EF172929	EF172929	NA	Acantharea_3_Uncultured
GU822868	GU822868	NA	Acantharea_3_Uncultured
GU246582	GU246582	NA	Acantharea_3_Uncultured
KJ758551	KJ758551	NA	Acantharea_B1_Acanthocyrta_haeckeli
Vil36	NA	JN811309	Acantharea_B1_Acanthocyrta_haeckeli
Vil20	JN811203	JN811306	Acantharea_B1_Unidentified
Vil45	NA	JN811312	Acantharea_B1_Acanthostaurus_purpurescens
Vil64	JN811211	JN811318	Acantharea_B1_Acanthocyrta_haeckeli
Vil51	JN811207	JN811314	Acantharea_B1_Acanthocyrta_haeckeli
Vil39	JN811206	JN811310	Acantharea_B1_Acanthocyrta_haeckeli
GU825535	GU825535	NA	Acantharea_B2_Phyllostaurus_cuspidatus
KJ761157	KJ761157	NA	Acantharea_B2_Phyllostaurus_cuspidatus
Ei68	JN811162	JN811247	Acantharea_B2_Phyllostaurus_cuspidatus
KJ760026	KJ760026	NA	Acantharea_B2_Phyllostaurus_cuspidatus
Vil110	JN811220	JN811328	Acantharea_C1_Gigartacon_muelleri
Oki91	JN811199	JN811294	Acantharea_C2_Gigartacon_fragilis
Oki33	JN811176	JN811266	Acantharea_C_Gigartacon_fragilis
Oki79	JN811197	JN811291	Acantharea_C3_Litholophus_spA
Ei71	JN811163	JN811248	Acantharea_C3_Litholophus_spB
Vil65	JN811212	JN811319	Acantharea_C3_Heteracon_biformis
Vil47	NA	JN811313	Acantharea_C3_Heteracon_biformis
Ei48	JN811157	JN811240	Acantharea_C4_Acanthocyrta_haeckeli
Vil126	JN811223	JN811331	Acantharea_C4_Heteracon_biformis
Oki23	JN811171	JN811261	Acantharea_C4_Gigartacon_muelleri
Oki30	JN811175	JN811265	Acantharea_C4_Gigartacon_muelleri
